mmsi,timestamp,vessel_proximity
352656000,2023-03-17 06:33:30+00:00,538008064
352656000,2023-03-23 16:30:00+00:00,538008064
538008064,2023-03-14 00:25:34+00:00,352656000
538008064,2023-03-14 19:30:00+00:00,352656000
538008064,2023-03-14 23:04:40+00:00,352656000
538008064,2023-03-15 01:28:13+00:00,352656000
538008064,2023-03-17 01:34:13+00:00,352656000
538008064,2023-03-20 07:59:21+00:00,352656000
563014650,2023-03-04 21:30:00+00:00,"564654000,564780000,565761000"
563014650,2023-03-12 13:42:24+00:00,"564654000,564780000,565761000"
563014650,2023-03-13 06:02:34+00:00,"564654000,564780000,565761000"
563014650,2023-03-13 12:32:34+00:00,"564654000,564780000,565761000"
563014650,2023-03-20 18:30:00+00:00,"563078430,564654000,565761000"
563078430,2023-03-06 06:43:08+00:00,"563014650,564654000,565761000"
563078430,2023-03-06 07:06:43+00:00,"563014650,564654000,565761000"
563078430,2023-03-11 06:42:19+00:00,"563014650,564654000,565761000"
563078430,2023-03-11 14:19:52+00:00,"564654000,565761000"
563078430,2023-03-19 10:00:03+00:00,"563014650,564654000,565761000"
563078430,2023-03-21 12:01:06+00:00,"563014650,564654000,564780000,565761000"
564654000,2023-03-05 14:16:24+00:00,"563014650,563078430,565761000"
564654000,2023-03-06 23:30:38+00:00,"563078430,565761000"
564654000,2023-03-08 16:13:12+00:00,"563014650,563078430,564780000,565761000"
564654000,2023-03-09 04:39:27+00:00,"563078430,565761000"
564654000,2023-03-09 20:28:58+00:00,"563014650,564780000,565761000"
564654000,2023-03-10 10:11:35+00:00,"563014650,563078430,564780000,565761000"
564654000,2023-03-10 12:03:36+00:00,565761000
564654000,2023-03-10 14:00:50+00:00,"563014650,564780000,565761000"
564654000,2023-03-10 14:18:52+00:00,565761000
564654000,2023-03-11 00:56:39+00:00,"564780000,565761000"
564654000,2023-03-11 06:49:49+00:00,"563014650,565761000"
564654000,2023-03-11 16:07:24+00:00,"563014650,564780000,565761000"
564654000,2023-03-11 19:11:00+00:00,565761000
564654000,2023-03-12 23:50:43+00:00,"563014650,564780000,565761000"
564654000,2023-03-13 08:12:47+00:00,"563078430,565761000"
564654000,2023-03-13 09:57:06+00:00,"563014650,563078430,564780000,565761000"
564654000,2023-03-13 19:38:31+00:00,"563078430,565761000"
564654000,2023-03-14 01:56:15+00:00,"563078430,565761000"
564654000,2023-03-15 10:56:38+00:00,"564780000,565761000"
564654000,2023-03-15 13:38:41+00:00,565761000
564654000,2023-03-16 23:30:00+00:00,565761000
564654000,2023-03-17 04:34:25+00:00,"563014650,564780000,565761000"
564654000,2023-03-17 04:57:36+00:00,"563014650,564780000,565761000"
564654000,2023-03-18 05:36:13+00:00,"563078430,564780000,565761000"
564654000,2023-03-18 07:05:29+00:00,"563014650,564780000,565761000"
564654000,2023-03-18 08:49:21+00:00,"563014650,563078430,564780000,565761000"
564654000,2023-03-19 06:00:18+00:00,"563014650,563078430,564780000,565761000"
564654000,2023-03-19 08:02:49+00:00,"563014650,563078430,565761000"
564654000,2023-03-19 14:19:51+00:00,"563014650,565761000"
564654000,2023-03-20 07:43:59+00:00,"563014650,563078430,565761000"
564654000,2023-03-20 10:35:28+00:00,565761000
564780000,2023-03-07 18:21:20+00:00,"563014650,564654000,565761000"
564780000,2023-03-09 18:30:00+00:00,"563014650,564654000,565761000"
564780000,2023-03-09 23:39:00+00:00,565761000
564780000,2023-03-10 11:46:20+00:00,"563014650,564654000,565761000"
564780000,2023-03-10 14:30:10+00:00,"563014650,563078430,564654000,565761000"
564780000,2023-03-14 07:30:00+00:00,"563014650,564654000,565761000"
564780000,2023-03-15 23:59:20+00:00,563014650
565761000,2023-03-05 00:08:27+00:00,"563014650,563078430,564654000,564780000"
565761000,2023-03-05 18:02:45+00:00,564654000
565761000,2023-03-05 18:41:35+00:00,"563014650,563078430,564654000"
565761000,2023-03-08 09:21:17+00:00,"563014650,564654000,564780000"
565761000,2023-03-11 07:30:00+00:00,"563014650,563078430,564654000,564780000"
565761000,2023-03-13 05:16:03+00:00,"563014650,563078430,564654000,564780000"
565761000,2023-03-14 16:30:00+00:00,"563014650,564654000"
565761000,2023-03-15 14:30:00+00:00,"563014650,564654000"
565761000,2023-03-18 05:15:06+00:00,"563078430,564654000"
565761000,2023-03-21 07:21:21+00:00,"563014650,563078430,564654000"
565761000,2023-03-23 02:30:00+00:00,564654000
875832716,2023-03-15 09:30:00+00:00,889799564
875832716,2023-03-16 03:30:00+00:00,889799564
875832716,2023-03-17 01:30:00+00:00,889799564
